,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
53,Tigzirt,DZ,25.84,36.57,4.2,92,0,2.06
54,Alofi,NU,86,-19.06,-169.92,70,0,11.41
55,Dinar,TR,37.4,38.07,30.16,93,75,5.82
56,Ilabaya,PE,56.08,-17.42,-70.51,91,12,0.72
57,Alice Springs,AU,104,-23.7,133.88,11,0,16.11
58,Tari,NG,62.74,12.41,4.49,30,0,10.11
59,Ossora,RU,-1.61,59.24,163.07,81,12,3.51
60,Albany,US,11.59,42.65,-73.75,63,20,5.82
61,Ipixuna,BR,77,-1.76,-48.8,88,0,4.7
62,Punta Arenas,CL,50,-53.16,-70.91,61,40,17.22
63,Yulara,AU,104,-25.24,130.99,11,0,16.11
64,Ribeira Grande,PT,61.3,38.52,-28.7,100,76,12.35
65,Khatanga,RU,-27.89,71.98,102.47,44,44,9.78
66,Karratha,AU,101.44,-20.74,116.85,34,0,11.34
67,Boyabat,TR,28.36,41.47,34.77,95,88,1.83
68,Puerto Ayora,EC,76.6,-0.74,-90.35,99,88,7.02
69,Fairlie,US,37.76,33.31,-95.96,82,90,10.29
70,Airai,TL,80.02,-8.93,125.41,70,48,1.5
71,Yumen,CN,11.26,40.29,97.04,82,76,4.41
72,Longyearbyen,NO,12.2,78.22,15.63,61,40,19.46
73,Ushuaia,AR,46.4,-54.81,-68.31,75,75,27.51
74,Easthampton,US,16.45,42.27,-72.67,60,75,8.05
75,Hamilton,BM,64.4,32.3,-64.78,72,75,11.41
76,Canayan,PH,71.38,8.2,125.14,95,44,2.51
77,Port Augusta,AU,86,-32.49,137.76,40,0,8.05
78,Busselton,AU,70.03,-33.64,115.35,92,0,12.62
79,Warrington,GB,45.34,53.39,-2.59,81,40,20.8
80,Srandakan,ID,84.34,-7.94,110.25,71,44,5.08
81,Severo-Yeniseyskiy,RU,4.06,60.37,93.04,61,92,8.81
82,Claremont,US,58.41,34.1,-117.72,62,90,4.7
83,Praia,BR,75.2,-20.25,-43.81,57,0,6.93
84,Mar del Plata,AR,59.41,-46.43,-67.52,65,0,5.57
85,Ascoli Piceno,IT,33.19,42.85,13.58,79,32,21.92
86,Leningradskiy,RU,-16.91,69.38,178.42,100,36,10.83
87,Peniche,PT,40.84,39.36,-9.38,70,0,8.05
88,Qaanaaq,GL,-25.19,77.48,-69.36,100,0,11.05
89,Flinders,AU,80.6,-34.58,150.85,69,20,9.17
90,Alyangula,AU,89.6,-13.85,136.42,62,40,11.41
91,Souillac,FR,48.99,45.6,-0.6,87,90,11.41
92,Avarua,CK,86,-21.21,-159.78,70,40,9.17
93,Marzuq,YE,32.5,14.4,46.47,76,0,2.33
94,Jamestown,AU,92.89,-33.21,138.6,51,0,8.1
95,Ostrovnoy,RU,16.21,68.05,39.51,98,80,11.83
96,Benito Juarez,MX,57.88,28.64,-111.57,72,76,3.22
97,Namatanai,PG,83.53,-3.66,152.44,100,32,13.96
98,Chor,PK,52.21,25.52,69.77,95,0,11.34
99,Tailai,CN,15.49,46.39,123.41,64,36,7.43
100,Hilo,US,80.06,19.71,-155.08,52,40,14.99
101,Nata,CY,46.4,34.78,32.57,87,88,3.36
102,Severo-Kurilsk,RU,31.24,50.68,156.12,100,64,6.13
103,Praia da Vitoria,PT,59,38.73,-27.07,82,40,12.8
104,Kysyl-Syr,RU,-22.94,63.9,122.77,34,36,6.08
105,Suleja,NG,75.2,9.18,7.18,27,8,8.05
106,Saskylakh,RU,-56.51,71.97,114.09,0,0,7.92
107,Lida,BY,33.22,53.9,25.3,94,92,16.6
108,Yerbogachen,RU,-15.29,61.28,108.01,45,76,7.65
109,Lebu,ET,48.2,8.96,38.73,45,0,3.36
110,Matara,PE,44.83,-13.74,-72.9,97,76,1.5
111,Grande Prairie,CA,19.4,55.17,-118.79,92,75,6.93
112,Popondetta,PG,80.02,-8.77,148.24,76,32,2.21
113,Mayo,CA,-9.41,63.59,-135.9,76,20,2.1
114,Bajil,ES,27.46,38.23,-2.07,79,0,5.41
115,Carauari,BR,76.06,-4.88,-66.9,93,24,3.4
116,Abbeville,FR,46.31,50.11,1.83,70,0,13.87
117,Gushikawa,JP,68.05,26.35,127.87,43,20,9.17
118,Richards Bay,ZA,72.64,-28.77,32.06,86,88,7.87
119,Los Llanos de Aridane,ES,69.8,28.66,-17.92,15,0,11.41
120,Bulawayo,ZW,63.82,-20.16,28.59,86,8,2.73
121,Faanui,PF,83.08,-16.48,-151.75,100,92,16.49
122,Georgetown,GY,76.84,6.8,-58.16,78,40,9.17
123,Benghazi,LY,60.13,32.12,20.07,100,48,27.78
124,Ambilobe,MG,69.04,-13.19,49.05,90,32,2.77
125,Lompoc,US,56.5,34.64,-120.46,58,90,10.29
126,Cienfuegos,CU,70.47,22.15,-80.44,88,88,3.36
127,Pevek,RU,-31.67,69.7,170.27,55,0,1.99
128,Vardo,US,27.81,39.62,-77.74,96,90,8.05
129,Serebryanyy Bor,RU,-10.07,56.8,124.8,64,56,8.66
130,Christchurch,NZ,57.2,-43.53,172.64,76,48,23.04
131,Leh,IN,-29.51,34.16,77.58,29,20,1.77
132,Geraldton,CA,28.4,49.72,-86.95,86,90,12.75
133,Puerto Madryn,AR,63.64,-42.77,-65.04,79,0,18.84
134,Griffith,AU,104.92,-34.29,146.06,19,0,18.34
135,Lata,IN,27.19,30.78,78.62,80,0,2.73
136,Santa Rosa,AR,63.82,-36.62,-64.29,78,56,2.84
137,Urengoy,RU,12.34,65.96,78.37,73,92,14.92
138,Vagay,RU,22.78,57.94,69.02,85,92,10.83
139,Ahipara,NZ,67.42,-35.17,173.16,85,76,18.32
140,Constancia,CU,71.6,22.24,-80.58,88,88,3.36
141,Topolobampo,MX,73.4,25.6,-109.05,33,5,9.17
142,Hervey Bay,AU,86,-25.3,152.85,51,90,18.34
143,Waipawa,NZ,57.61,-39.94,176.59,95,100,9.37
144,Xining,CN,10.99,36.62,101.77,62,44,3.51
145,Tiznit,MA,46.09,29.7,-9.73,78,0,3.89
146,Tuy Hoa,VN,74.98,13.08,109.3,94,64,11.34
147,Kulhudhuffushi,MV,81.46,6.62,73.07,100,20,8.55
148,Codrington,AU,82.92,-28.95,153.24,48,75,10.29
149,Inhambane,MZ,80.56,-23.87,35.38,98,88,4
150,Provideniya,RU,3.2,64.42,-173.23,71,90,20.13
151,Bahia de Caraquez,EC,77,-0.6,-80.42,78,20,8.05
152,Lavrentiya,RU,0.46,65.58,-170.99,100,92,34.72
153,San Jeronimo,PE,44.83,-13.65,-73.37,97,76,1.5
154,Mahebourg,MU,78.8,-20.41,57.7,74,40,9.17
155,Jacmel,HT,78.22,18.24,-72.54,99,64,4.85
156,Sao Joao da Barra,BR,79.93,-21.64,-41.05,94,0,12.57
157,Upernavik,GL,-11.06,72.79,-56.15,100,24,4.52
158,Cidreira,BR,76.06,-30.17,-50.22,94,32,10.89
159,Garowe,SO,52.66,8.41,48.48,92,0,4.29
160,Broome,GB,42.8,52.47,1.45,81,76,11.41
161,Indio,US,57.42,33.72,-116.22,81,1,1.88
162,Ukiah,US,57.92,39.15,-123.21,47,1,3.36
163,Dakar,SN,69.8,14.69,-17.45,83,12,12.75
164,Sal Rei,CV,68,16.18,-22.92,77,40,6.93
165,Yuli,NG,57.34,10.52,9.86,41,8,5.23
166,Fort Nelson,CA,-7.61,58.81,-122.69,83,90,3.36
167,Shizunai,JP,22.96,42.33,142.37,100,0,3.33
168,Aginskoye,RU,-3.68,51.11,114.54,24,8,21.41
169,Namibe,AO,71.02,-15.19,12.15,100,8,5.91
170,Grindavik,IS,26.6,63.84,-22.43,92,20,17.22
171,Carmen,PH,88.66,7.2,124.8,54,24,4.29
172,Mecca,SA,70.3,21.43,39.83,86,68,3.29
173,Taitung,TW,73.4,22.76,121.15,64,75,11.41
174,Sabha,LY,25.48,27.03,14.43,74,0,5.91
175,Ilorin,NG,73.36,8.5,4.55,84,80,6.53
176,Itoman,JP,68.02,26.12,127.67,43,20,9.17
177,Dedougou,BF,65.44,12.47,-3.47,25,0,9.04
178,Touros,BR,80.6,-5.2,-35.46,83,40,4.7
179,Sao Miguel do Araguaia,BR,77.95,-13.28,-50.16,82,68,2.33
180,Nang Rong,TH,73.4,14.64,102.79,83,20,6.42
181,Cherskiy,RU,-28.97,68.75,161.3,0,20,2.77
182,Port Hedland,AU,96.8,-20.31,118.58,37,0,25.28
183,Kruisfontein,ZA,63.28,-34,24.73,94,0,6.35
184,Urucara,BR,75.88,-2.54,-57.76,90,56,1.99
185,Ust-Kuyga,RU,-35.72,70,135.55,0,48,4.12
186,Mount Gambier,AU,84.2,-37.83,140.78,35,8,5.82
187,Henties Bay,NA,63.19,-22.12,14.28,98,92,5.3
188,Ponta do Sol,BR,65.44,-20.63,-46,94,44,3.29
189,Mehamn,NO,15.85,71.03,27.85,75,0,3.06
190,Klyuchi,RU,6.31,52.25,79.17,73,0,13.62
191,Pekan,MY,78.8,3.49,103.39,88,75,8.05
192,Nidzica,PL,35.11,53.36,20.43,94,88,16.08
193,Port Alfred,ZA,66.61,-33.59,26.89,98,88,7.09
194,Hofn,IS,26.74,64.25,-15.21,100,88,3.06
195,Nikolskoye,RU,26.6,59.7,30.79,100,75,11.18
196,Kavieng,PG,84.34,-2.57,150.8,100,80,12.35
197,Nakusp,CA,15.67,50.24,-117.8,81,0,1.72
198,Port Elizabeth,US,30.2,39.31,-74.98,66,90,16.11
199,Chernivtsi,UA,30.97,48.29,25.94,85,88,13.06
200,Zhireken,RU,-1.52,52.82,117.29,53,36,7.92
201,Krasnoarmeysk,RU,26.6,56.12,38.15,92,75,11.18
202,Haines Junction,CA,-13.58,60.75,-137.51,74,44,1.83
203,Evensk,RU,1.99,61.92,159.24,100,36,6.58
204,Araouane,ML,46.45,18.9,-3.53,39,0,10.11
205,Guilin,CN,46.4,25.28,110.29,87,90,4.47
206,Show Low,US,32.52,34.25,-110.03,100,90,3.36
207,Katsuura,JP,43.79,33.93,134.5,75,20,8.05
208,Xai-Xai,MZ,79.39,-25.04,33.64,96,44,7.76
209,Muisne,EC,70.48,0.61,-80.02,96,24,0.83
210,Flin Flon,CA,7.57,54.77,-101.88,75,44,5.08
211,Bredasdorp,ZA,64.4,-34.53,20.04,72,88,1.12
212,Shimoda,JP,46.98,34.7,138.93,49,75,5.82
213,Sola,NO,33.03,58.89,5.65,100,75,25.28
214,Ternate,PH,82.4,14.29,120.72,61,20,6.93
215,Faya,SA,53.6,18.39,42.45,46,0,4.7
216,Kaitangata,NZ,58.78,-46.28,169.85,84,32,12.68
217,Tiksi,RU,-38.51,71.64,128.87,0,0,2.39
218,Vanavara,RU,-14.21,60.35,102.28,42,68,8.03
219,Antalaha,MG,75.52,-14.9,50.28,100,92,6.13
220,Kununurra,AU,87.8,-15.77,128.74,62,75,4.7
221,Tuktoyaktuk,CA,-23.81,69.44,-133.03,74,40,21.92
222,Lekhaion,GR,44.6,37.93,22.85,81,75,2.28
223,Sungai Padi,TH,77,6.09,101.88,94,75,2.24
224,Mangaratiba,BR,80.6,-22.96,-44.04,78,0,3.36
225,Prince Rupert,CA,50,54.32,-130.32,66,90,10.29
226,Escanaba,US,15.71,45.75,-87.06,93,1,8.66
227,Zhanaozen,KZ,37.18,43.35,52.85,96,92,7.58
228,Corsicana,US,37.83,32.09,-96.46,72,90,8.05
229,Mount Isa,AU,98.6,-20.73,139.49,23,0,10.29
230,Mackay,CA,26.08,53.65,-115.58,100,1,2.33
231,Talnakh,RU,-10.79,69.49,88.39,72,76,21.9
232,Oyama,JP,44.6,36.31,139.8,45,20,6.93
233,Barcelos,PT,35.92,41.53,-8.62,86,0,3.36
234,Sahuaripa,MX,46.72,29.05,-109.23,73,32,1.88
235,Torbay,CA,24.8,47.66,-52.73,68,90,20.8
236,Orcopampa,PE,31.6,-15.27,-72.34,83,12,2.33
237,Hopelchen,MX,73.4,19.77,-89.85,83,5,11.41
238,Aden,YE,75.79,12.79,45.03,100,0,15.08
239,Tilichiki,RU,-22.31,60.47,166.1,32,0,3.4
240,Kuminskiy,RU,24.67,58.67,66.57,86,92,10.45
241,Campina Verde,BR,71.56,-19.54,-49.49,91,44,2.84
242,Kansk,RU,-15.74,56.21,95.71,23,44,5.57
243,Hovd,NO,32.38,63.83,10.7,80,75,27.51
244,Genhe,CN,-1.7,50.78,121.52,73,48,4.23
245,Ushtobe,KZ,3.61,45.25,77.98,43,0,3
246,Klaksvik,FO,32,62.23,-6.59,100,20,14.99
247,Port Hardy,CA,46.4,50.7,-127.42,87,40,3.56
248,Bathsheba,BB,75.2,13.22,-59.52,78,40,12.75
249,Ambovombe,MG,77.05,-25.18,46.09,96,88,5.12
250,Samagaltay,RU,-26.81,50.6,95,0,0,0.98
251,Slave Lake,CA,28.4,55.28,-114.77,100,75,5.82
252,Rio Gallegos,AR,59,-51.62,-69.22,33,0,14.99
253,Kodiak,US,25.95,39.95,-94.76,92,90,3
254,Rampura,IN,52.66,24.47,75.44,100,0,9.15
255,Sao Filipe,CV,72.1,14.9,-24.5,98,76,11.61
256,Saint Anthony,US,12.58,43.97,-111.68,69,1,4.7
257,Grand Gaube,MU,78.8,-20.01,57.66,74,40,9.17
258,Margate,AU,75.2,-43.03,147.26,33,0,13.87
259,Cayenne,GF,77,4.94,-52.33,83,20,2.24
260,Nanortalik,GL,28.54,60.14,-45.24,96,80,23.35
261,Dingle,PH,82.45,11,122.67,66,32,17.43
262,Mogok,MM,62.74,22.92,96.51,83,8,2.55
263,Severobaykalsk,RU,-27.17,55.65,109.32,38,0,1.83
264,Kuusamo,FI,8.6,65.96,29.19,92,90,2.24
265,Gold Coast,AU,84.2,-28,153.41,48,40,17.22
266,Caravelas,BR,80.11,-17.73,-39.27,100,76,12.46
267,Constitucion,MX,64.4,23.99,-104.67,20,5,16.11
268,Tema,GH,83.71,5.66,-0.01,96,24,14.36
269,Masindi,UG,66.61,1.69,31.72,51,76,6.31
270,Yurla,RU,11.26,59.33,54.32,75,56,8.77
271,Mocuba,MZ,74.89,-16.84,36.99,90,92,7.02
272,Rocha,UY,68.86,-34.48,-54.34,98,100,6.8
273,Blagoveshchenka,RU,8.11,52.83,79.87,67,0,13.96
274,Tahoua,NE,58.24,14.89,5.26,35,0,11.45
275,Nabire,ID,81.19,-3.36,135.5,77,12,2.39
276,Akcakoca,TR,31.87,41.09,31.12,98,68,2.21
277,Rawson,AR,65.44,-43.3,-65.11,42,0,16.37
278,Kirakira,SB,82.81,-10.46,161.92,100,12,7.87
279,Magaria,NE,55.99,13,8.91,50,0,10.27
280,Darnah,LY,57.07,32.77,22.64,100,88,23.98
281,Puerto Quijarro,BO,78.94,-19,-57.72,70,20,2.89
282,Sabancuy,MX,75.25,18.97,-91.18,98,0,16.87
283,Wajir,KE,69.04,1.75,40.07,46,0,5.91
284,Nantucket,US,30.06,41.28,-70.1,74,90,16.11
285,Sobolevo,RU,31.78,54.43,31.9,95,92,16.15
286,Ilulissat,GL,-0.41,69.22,-51.1,59,12,4.7
287,Badalona,ES,43.59,41.45,2.25,76,8,5.82
288,Pingliang,CN,26.02,35.54,106.68,58,48,9.1
289,Markivka,UA,20.62,49.52,39.57,92,80,11.61
290,Victor Harbor,AU,84.2,-35.55,138.62,32,0,11.41
291,Umea,SE,17.6,63.83,20.26,85,20,5.82
292,Zadar,HR,42.8,44.12,15.24,81,75,5.82
293,Sechura,PE,74.17,-5.56,-80.82,77,12,13.13
294,Foundiougne,SN,70.39,14.13,-16.47,31,12,6.58
295,Sarangani,PH,82.09,5.4,125.46,96,36,9.6
296,Gambela,ET,55.81,8.25,34.59,69,0,4.63
297,Iqaluit,CA,1.4,63.75,-68.52,77,90,20.8
298,Vao,EE,30.7,59.1,26.19,94,88,7.43
299,Pontianak,ID,78.8,-0.02,109.34,88,40,4.7
300,Shakawe,BW,66.52,-18.36,21.84,97,56,8.32
301,Muros,ES,42.73,42.77,-9.06,93,90,3.36
302,Vila Franca do Campo,PT,59,37.72,-25.43,72,40,9.17
303,Adrar,DZ,42.8,27.87,-0.29,41,0,8.05
304,Benguela,AO,74.62,-12.58,13.4,100,56,3.89
305,Pacific Grove,US,56.93,36.62,-121.92,69,1,12.06
306,Itarema,BR,73.63,-2.92,-39.92,95,44,4.34
307,Aswan,EG,47.98,24.09,32.9,72,88,6.02
308,Cockburn Town,TC,77.86,21.46,-71.14,100,0,15.41
309,Saint-Augustin,FR,50,44.83,-0.61,93,75,12.75
310,Kavaratti,IN,82,10.57,72.64,100,0,13.35
311,Bella Vista,AR,74.89,-28.51,-59.05,92,20,4.56
312,College,US,-6.53,64.86,-147.8,79,1,3
313,Tobol,SE,19.6,59.83,12.54,85,0,3.36
314,Santa Margherita Ligure,IT,51.8,44.33,9.21,71,75,1.12
315,Nampula,MZ,73.4,-15.12,39.26,94,75,5.08
316,Chara,GR,27.99,39.42,22.43,80,0,5.82
317,Belaya Kholunitsa,RU,13.69,58.84,50.85,84,80,11.61
318,Semporna,MY,80.6,4.48,118.61,83,75,3.36
319,Anadyr,RU,-25.61,64.73,177.51,67,0,11.18
320,Coihaique,CL,58.75,-45.58,-72.07,51,0,4.7
321,Deming,US,48.45,32.27,-107.76,67,90,8.05
322,Halifax,CA,10.4,44.65,-63.58,85,20,8.05
323,Havelock,US,41.29,34.88,-76.9,95,90,16.11
324,Pemberton,AU,72.64,-34.44,116.03,45,8,11.27
325,Kahului,US,79.66,20.89,-156.47,53,40,6.93
326,Skibbereen,IE,46.4,51.55,-9.27,70,75,14.99
327,Zyryanka,RU,-18.89,65.73,150.89,28,64,6.35
328,Dwarka,IN,48.2,28.58,77.04,93,0,4.7
329,Sur,OM,67.87,22.57,59.53,100,0,8.93
330,Hualmay,PE,64.18,-11.1,-77.61,96,32,5.41
331,Freetown,BS,76.96,26.61,-78.36,96,0,12.8
332,Kpandae,GH,71.29,8.46,-0.01,54,0,1.28
333,La Ronge,CA,17.6,55.1,-105.3,92,90,4.7
334,Knysna,ZA,66.16,-34.04,23.05,100,36,4.07
335,Angoche,MZ,80.02,-16.23,39.91,100,80,15.19
336,Maceio,BR,77,-9.67,-35.74,88,75,5.82
337,Dunedin,NZ,60.22,-45.87,170.5,81,20,13.91
338,Brae,GB,34.81,60.4,-1.35,69,32,27.51
339,Saint-Leu,RE,77.94,-21.15,55.28,69,0,8.05
340,Saryg-Sep,RU,-25.73,51.49,95.55,35,0,1.72
341,Baykit,RU,-11.96,61.68,96.39,73,88,5.23
342,Ixtapa,MX,78.8,20.71,-105.21,78,40,8.05
343,Pangnirtung,CA,-18.44,66.15,-65.72,53,48,3.56
344,Livingstonia,MW,67.15,-10.61,34.11,100,92,2.21
345,Pekin,US,21.76,40.57,-89.64,86,1,3.36
346,Veraval,FR,48.79,49.65,0.71,81,90,16.11
347,Sept-Iles,CA,-0.41,50.2,-66.38,70,40,4.7
348,Nianzishan,CN,12.34,47.51,122.88,55,8,12.06
349,Zverinogolovskoye,RU,24.58,54.46,64.85,86,88,10.33
350,Morant Bay,JM,77,17.88,-76.41,73,20,6.93
351,The Valley,AI,77,18.22,-63.06,73,20,8.05
352,Imbituba,BR,78.8,-28.24,-48.67,88,75,6.93
353,Esperance,TT,75.2,10.24,-61.45,73,20,4.85
354,Moree,AU,87.8,-29.46,149.84,25,0,10.29
355,Mpulungu,ZM,58.96,-8.77,31.12,94,68,2.84
356,Tateyama,JP,42.8,36.66,137.31,56,20,5.82
357,Strezhevoy,RU,21.2,60.73,77.6,92,90,13.42
358,Umm Lajj,SA,61.39,25.02,37.27,100,68,10.89
359,Nioro,GM,69.94,13.79,-15.05,37,0,9.15
360,Bonavista,CA,24.04,48.65,-53.11,100,20,21.12
361,Verkhnyaya Inta,RU,5.95,65.99,60.32,79,68,3.4
362,Nha Trang,VN,82.4,12.24,109.19,61,40,12.75
363,Sweetwater,US,33.42,32.47,-100.41,100,90,8.05
364,Coquimbo,CL,62.6,-29.95,-71.34,82,0,8.05
365,Cuenca,ES,24.4,40.07,-2.13,73,0,3.56
366,Milkovo,BG,23,41.53,24.68,92,0,4.7
367,Coolum Beach,AU,77.59,-26.53,153.09,85,100,9.82
368,Havoysund,NO,23,71,24.66,85,0,2.24
369,Abaza,RU,-11.6,52.65,90.1,36,0,1.99
370,Santo Domingo de Guzman,MX,53.6,19.59,-99.77,62,75,10.29
371,Poltavka,RU,14.14,54.36,71.76,74,24,11.68
372,La Asuncion,EC,47.8,-1.64,-78.74,99,92,1.28
373,Ati,TD,64.45,13.21,18.34,22,0,10.6
374,Laguna,MX,68,27.52,-110.01,45,5,4.7
375,Mizan Teferi,ET,55.18,6.99,35.58,65,0,2.21
376,Glyadyanskoye,RU,23.5,54.91,65.09,90,92,10.27
377,Rio Novo,BR,70.21,-21.48,-43.13,71,0,8.88
378,Mineiros,BR,71.47,-17.57,-52.55,78,12,3.29
379,Ust-Omchug,RU,-18.44,61.13,149.63,48,32,3.33
380,Mandalgovi,MN,-1.88,45.76,106.27,61,0,10.38
381,Santa Ines,EC,51.8,-0.82,-78.63,93,75,2.24
382,Maharajganj,IN,54.82,26.11,84.5,96,36,6.42
383,Nouakchott,MR,64.4,18.08,-15.98,10,56,4.7
384,Auki,NG,59.59,12.18,6.51,35,0,10.45
385,Sumter,US,42.21,33.92,-80.34,100,90,6.76
386,Sarahan,IN,-14.75,31.51,77.79,78,0,2.28
387,Port Lincoln,AU,79.03,-34.72,135.86,65,0,7.81
388,Quatre Cocos,MU,78.8,-20.21,57.76,74,40,9.17
389,Kemin,KG,0.64,42.79,75.7,74,12,4
390,Ucluelet,CA,44.6,48.94,-125.55,93,20,2.24
391,San Patricio,PY,78.31,-26.98,-56.83,86,24,4.29
392,Summerville,US,44.91,33.02,-80.17,89,90,8.05
393,Daru,SL,70.57,7.99,-10.85,88,0,2.55
394,Aripuana,BR,73.09,-9.17,-60.63,97,20,1.54
395,Ladnun,IN,45.01,27.64,74.39,94,0,4
396,Zelenoborskiy,RU,7.12,66.84,32.36,75,44,1.88
397,Rudnogorsk,RU,-14.75,57.27,103.75,43,0,6.8
398,Fortuna,ES,47.28,38.18,-1.13,71,0,10.29
399,San Angelo,US,35.96,31.46,-100.44,81,1,11.41
400,Thomaston,US,46.17,32.89,-84.33,93,90,3.36
401,Matay,EG,39.97,28.42,30.79,81,0,7.09
402,Redland,US,29.23,39.14,-77.14,92,90,7.54
403,Nalut,LY,33.49,31.86,10.98,80,0,9.33
404,Tabou,CI,82.81,4.42,-7.36,99,56,10.89
405,Pontal do Parana,BR,66.2,-25.67,-48.51,100,75,4.7
406,Hongjiang,CN,40.42,27.21,109.83,100,92,3.78
407,Soroti,UG,64.18,1.71,33.61,72,12,6.42
408,Kloulklubed,PW,84.2,7.04,134.26,70,75,14.99
409,Petropavlovsk-Kamchatskiy,RU,14,53.05,158.65,66,75,8.95
410,Zabol,IR,34.21,31.03,61.49,79,0,6.87
411,Sernovodskoye,RU,28.4,43.32,45.16,100,90,4.47
412,Santa Cruz,US,57.2,36.97,-122.03,58,1,6.93
413,Mianyang,CN,43.75,31.46,104.75,95,24,3.89
414,Thompson,CA,5,55.74,-97.86,84,5,6.93
415,Bibiani,GH,74.71,6.45,-2.31,85,36,4.52
416,Salta,AR,73.65,-24.79,-65.41,78,40,3.36
417,Mishkino,RU,14,56.22,46.62,85,40,15.66
418,Rome,IT,44.58,41.89,12.48,87,40,5.82
419,Chuy,UY,71.38,-33.69,-53.46,98,92,10.89
420,Payo,ID,75.16,-3.75,103.64,99,88,9.33
421,Marawi,PH,81.46,8,124.29,59,24,3.4
422,Careiro da Varzea,BR,75.2,-3.2,-59.81,83,75,8.05
423,Tuatapere,NZ,57.61,-46.13,167.69,93,0,6.64
424,Plymouth,GB,46.09,50.37,-4.14,100,68,16.64
425,Kindersley,CA,23,51.47,-109.16,85,20,3.36
426,Sitka,US,24.67,37.17,-99.65,79,32,5.3
427,Paita,PE,73,-5.09,-81.11,80,8,7.54
428,Mikhaylovka,RU,-15.56,52.96,103.29,45,0,2.55
429,Cherdyn,RU,12.34,60.4,56.48,72,76,8.43
430,Isla Vista,US,56.91,34.41,-119.86,58,90,10.29
431,Plettenberg Bay,ZA,65.71,-34.05,23.37,100,20,3.51
432,Kontagora,NG,67.15,10.4,5.47,36,0,8.37
